Hospital Name,Latitude,Longitude,Hospital Network,State
St. Alabama Healthcare,47.17965341796814,-117.24943540094696,Cleveland Clinic,South Dakota
St. Montana Hospital,35.62575615254312,-70.56518172201507,Dignity Health,Minnesota
Memorial California Clinic,26.563120847957634,-124.37654309500907,Mayo Clinic,North Carolina
University Hawaii Clinic,35.398195984485156,-78.45579195917071,Advocate Aurora Health,New Jersey
University Florida Hospital,42.98591372199343,-124.13138712501063,Ascension,Delaware
St. Alaska Medical Center,31.705762581583965,-98.78189624461535,Mayo Clinic,Maryland
Memorial Utah Health Center,48.15928915025726,-91.6738089187877,Ascension,Wyoming
Regional New Hampshire Health Center,29.93509126148227,-111.68469870398228,Mayo Clinic,Virginia
Community North Carolina Hospital,25.404420045157696,-68.19337725285337,CommonSpirit Health,Maine
Children's Florida Healthcare,47.549117266554454,-108.58178198305433,Advocate Aurora Health,Idaho
Memorial North Dakota Hospital,33.92736697829462,-72.82165213758944,Advocate Aurora Health,New Jersey
Children's California Health Center,31.455858911532875,-97.52799476347434,Dignity Health,Nebraska
General Oregon Hospital,48.88837641674089,-118.46603781806726,Mayo Clinic,Colorado
Children's Maine Hospital,40.169667965724365,-80.93193694059323,Providence,New Jersey
Community Iowa Healthcare,32.32312729210254,-119.6383796022487,HCA Healthcare,Nebraska
Memorial California Clinic,41.94998664953754,-84.29455772348021,HCA Healthcare,Mississippi
Community Maryland Clinic,35.9823972791664,-84.94607471879317,Advocate Aurora Health,Alabama
General South Dakota Health Center,24.498641848905816,-105.38753599621742,Providence,Alabama
St. New Jersey Infirmary,39.654081950928436,-113.86479624288934,Dignity Health,North Carolina
Mercy Pennsylvania Infirmary,44.63006553455989,-82.71099360209044,Ascension,Arkansas
St. Louisiana Medical Center,36.31548108417666,-108.03754998598495,Tenet Healthcare,Nebraska
Community Montana Medical Center,42.44740636745982,-93.42320079086595,Ascension,Michigan
Memorial Illinois Healthcare,41.27033429896346,-103.86909747796221,Dignity Health,Nevada
Community Nebraska Infirmary,43.94529404035712,-107.2097952210084,Mayo Clinic,Washington
Mercy Virginia Hospital,27.99960255654493,-90.60428082413284,Cleveland Clinic,Nevada
University Kentucky Hospital,31.477326165841628,-84.21931790673847,CommonSpirit Health,Tennessee
University Rhode Island Medical Center,43.410043450542226,-70.32555854733911,CommonSpirit Health,Iowa
Community Tennessee Health Center,25.856774887202345,-73.89616239929978,CommonSpirit Health,Alabama
Memorial Alabama Clinic,28.824793878425155,-80.2496201752177,Providence,Montana
General West Virginia Healthcare,25.346804888876285,-94.7737465374793,Providence,Hawaii
Memorial California Clinic,37.15355361441871,-83.63565545374577,Tenet Healthcare,Vermont
University Iowa Healthcare,31.438549141940054,-77.39771116637152,Dignity Health,Rhode Island
Community Florida Hospital,34.88048922109118,-96.25031949834343,Advocate Aurora Health,Idaho
Children's Louisiana Health Center,39.841034897921645,-120.97145021482275,Cleveland Clinic,Idaho
St. North Dakota Medical Center,38.592920913192145,-122.11685056095877,HCA Healthcare,Rhode Island
St. Nebraska Healthcare,42.058947521711744,-104.67672344895547,Ascension,Maine
Mercy Delaware Infirmary,46.63571006082929,-93.04357691520246,Dignity Health,Mississippi
Children's California Clinic,38.63329213842431,-90.097768315444,Advocate Aurora Health,Oklahoma
Community Indiana Hospital,38.25804088523858,-81.60731898199853,Ascension,Pennsylvania
University New Jersey Healthcare,33.9826592194443,-110.42595682801661,Dignity Health,Wisconsin
Community Nevada Clinic,42.56795858256869,-78.39364594298914,Tenet Healthcare,Kentucky
Mercy Maryland Health Center,28.877322377622917,-114.10122255491441,Tenet Healthcare,Virginia
Mercy California Medical Center,38.35771081896718,-122.51608725864725,HCA Healthcare,Illinois
Children's New Jersey Health Center,27.20955953395386,-83.12604960528927,CommonSpirit Health,Texas
Children's Arizona Hospital,35.65231876270845,-122.16674356876825,Tenet Healthcare,Missouri
Community Maryland Healthcare,28.07123634968287,-87.39082850599976,Tenet Healthcare,Alabama
Community Louisiana Health Center,43.240997729954586,-119.2382693532369,Mayo Clinic,Oregon
Community Indiana Healthcare,26.79374885936858,-104.35970863524162,CommonSpirit Health,Illinois
Community Louisiana Hospital,40.163585013448255,-77.66936043311135,Ascension,Arkansas
Children's Louisiana Infirmary,32.31868319189432,-78.81610854585341,HCA Healthcare,New Mexico
Regional Colorado Hospital,26.831216193208245,-105.77001697334131,Cleveland Clinic,Alabama
General New Hampshire Medical Center,34.33993757078388,-67.52089711866363,Mayo Clinic,Virginia
Memorial Washington Health Center,40.68078134986493,-90.00763276113832,Tenet Healthcare,Maryland
General Iowa Hospital,48.5886437875933,-111.57659202929598,Mayo Clinic,Arkansas
St. Delaware Hospital,43.538431099474415,-74.35299263403948,Ascension,Alabama
General Alabama Clinic,26.64056757862638,-107.03608957761767,Mayo Clinic,Wyoming
General Nebraska Medical Center,48.068150357334964,-84.59302633833725,Providence,Wisconsin
